layout_branch_id,test_environment_mode,family,target_heading_deg,direction_sign,start_class,failure_label,trial_count
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,-1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,-1,random_stress,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,favourable,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,favourable,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,lift_sector,target_miss,3
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,lift_sector,true_safety_violation,10
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,30.0,1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,favourable,target_miss,3
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,favourable,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,random_stress,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,-1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,favourable,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,favourable,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,45.0,1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,lift_sector,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,lift_sector,true_safety_violation,9
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,lift_sector,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,lift_sector,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,mid_arena,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,60.0,1,random_stress,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,favourable,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,favourable,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,mid_arena,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,favourable,target_miss,3
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,favourable,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,random_stress,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,90.0,1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,favourable,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,favourable,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,lift_sector,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,lift_sector,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,favourable,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,favourable,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,lift_sector,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,lift_sector,true_safety_violation,9
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,random_stress,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,120.0,1,random_stress,true_safety_violation,3
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,lift_sector,target_miss,3
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,lift_sector,true_safety_violation,10
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,random_stress,target_miss,4
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,-1,random_stress,true_safety_violation,3
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,favourable,target_miss,6
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,favourable,true_safety_violation,3
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,lift_sector,target_miss,6
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,lift_sector,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,random_stress,target_miss,3
four_fan_branch,W0_four_fan_branch,mild_bank,150.0,1,random_stress,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,lift_sector,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,lift_sector,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,favourable,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,favourable,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,random_stress,target_miss,5
four_fan_branch,W0_four_fan_branch,mild_bank,180.0,1,random_stress,true_safety_violation,2
four_fan_branch,W0_four_fan_branch,recovery,,-1,favourable,success,4
four_fan_branch,W0_four_fan_branch,recovery,,-1,favourable,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,recovery,,-1,lift_sector,success,3
four_fan_branch,W0_four_fan_branch,recovery,,-1,lift_sector,true_safety_violation,10
four_fan_branch,W0_four_fan_branch,recovery,,-1,mid_arena,success,3
four_fan_branch,W0_four_fan_branch,recovery,,-1,mid_arena,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,recovery,,-1,random_stress,success,2
four_fan_branch,W0_four_fan_branch,recovery,,-1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,recovery,,1,favourable,success,5
four_fan_branch,W0_four_fan_branch,recovery,,1,favourable,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,recovery,,1,lift_sector,success,4
four_fan_branch,W0_four_fan_branch,recovery,,1,lift_sector,true_safety_violation,9
four_fan_branch,W0_four_fan_branch,recovery,,1,mid_arena,success,2
four_fan_branch,W0_four_fan_branch,recovery,,1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,recovery,,1,random_stress,success,2
four_fan_branch,W0_four_fan_branch,recovery,,1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,random_stress,success,1
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,-1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,1,lift_sector,true_safety_violation,13
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,15.0,1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,lift_sector,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,lift_sector,true_safety_violation,10
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,mid_arena,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,random_stress,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,-1,random_stress,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,mid_arena,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,mid_arena,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,30.0,1,random_stress,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,lift_sector,target_miss,6
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,lift_sector,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,random_stress,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,-1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,lift_sector,true_safety_violation,13
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,random_stress,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,45.0,1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,lift_sector,target_miss,4
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,lift_sector,true_safety_violation,9
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,mid_arena,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,mid_arena,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,random_stress,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,-1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,lift_sector,target_miss,4
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,lift_sector,true_safety_violation,9
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,mid_arena,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,60.0,1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,favourable,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,favourable,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,mid_arena,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,90.0,1,random_stress,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,favourable,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,favourable,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,lift_sector,target_miss,5
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,lift_sector,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,mid_arena,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,favourable,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,favourable,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,lift_sector,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,lift_sector,true_safety_violation,12
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,mid_arena,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,mid_arena,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,random_stress,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,120.0,1,random_stress,true_safety_violation,4
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,-1,random_stress,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,favourable,target_miss,3
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,favourable,true_safety_violation,6
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,lift_sector,true_safety_violation,11
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,random_stress,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,150.0,1,random_stress,true_safety_violation,5
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,-1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,-1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,-1,lift_sector,target_miss,2
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,-1,lift_sector,true_safety_violation,10
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,favourable,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,favourable,true_safety_violation,8
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,lift_sector,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,lift_sector,true_safety_violation,12
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,mid_arena,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,random_stress,target_miss,1
four_fan_branch,W0_four_fan_branch,wingover_lite,180.0,1,random_stress,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,lift_sector,success,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,lift_sector,target_miss,2
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,lift_sector,true_safety_violation,10
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,mid_arena,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,mid_arena,true_safety_violation,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,random_stress,success,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,random_stress,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,favourable,success,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,favourable,target_miss,4
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,favourable,true_safety_violation,4
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,lift_sector,target_miss,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,lift_sector,true_safety_violation,7
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,mid_arena,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,random_stress,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,15.0,1,random_stress,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,favourable,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,favourable,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,lift_sector,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,lift_sector,true_safety_violation,10
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,mid_arena,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,mid_arena,true_safety_violation,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,random_stress,target_miss,2
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,-1,random_stress,true_safety_violation,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,favourable,target_miss,2
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,favourable,true_safety_violation,7
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,lift_sector,target_miss,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,lift_sector,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,mid_arena,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,random_stress,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,30.0,1,random_stress,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,favourable,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,favourable,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,lift_sector,target_miss,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,lift_sector,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,mid_arena,target_miss,2
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,mid_arena,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,random_stress,target_miss,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,-1,random_stress,true_safety_violation,2
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,favourable,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,favourable,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,lift_sector,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,lift_sector,true_safety_violation,12
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,mid_arena,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,mid_arena,true_safety_violation,7
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,random_stress,target_miss,1
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,45.0,1,random_stress,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,favourable,target_miss,4
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,favourable,true_safety_violation,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,lift_sector,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,lift_sector,true_safety_violation,10
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,mid_arena,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,random_stress,target_miss,2
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,-1,random_stress,true_safety_violation,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,1,favourable,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,1,favourable,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,1,lift_sector,target_miss,5
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,1,lift_sector,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,1,mid_arena,true_safety_violation,8
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,60.0,1,random_stress,true_safety_violation,7
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,90.0,-1,favourable,target_miss,3
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,90.0,-1,favourable,true_safety_violation,6
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,90.0,-1,lift_sector,target_miss,4
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,90.0,-1,lift_sector,true_safety_violation,9
four_fan_branch,W1_four_fan,bank_yaw_energy_retaining,90.0,-1,mid_arena,target_miss,2
