primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
mild_turn_right,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
mild_turn_right,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,172
mild_turn_right,transition_object,boundary_near,safe_terminal,True,,428
mild_turn_right,transition_object,inflight_stable,boundary_near,True,,3299
mild_turn_right,transition_object,inflight_stable,inflight_stable,True,,378
mild_turn_right,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,163
mild_turn_right,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1773
mild_turn_right,transition_object,launch_gate,inflight_stable,True,,800
mild_turn_right,transition_object,launch_gate,post_launch_degraded,True,,1267
mild_turn_right,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,599
mild_turn_right,transition_object,recoverable_degraded,inflight_stable,True,,164
mild_turn_right,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,197
recovery,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
recovery,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,174
recovery,transition_object,boundary_near,safe_terminal,True,,426
recovery,transition_object,inflight_stable,boundary_near,True,,3301
recovery,transition_object,inflight_stable,inflight_stable,True,,393
recovery,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,146
recovery,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1775
recovery,transition_object,launch_gate,inflight_stable,True,,791
recovery,transition_object,launch_gate,post_launch_degraded,True,,1274
recovery,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,597
recovery,transition_object,recoverable_degraded,inflight_stable,True,,164
recovery,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,199
safe_exit_or_recovery_handoff,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
safe_exit_or_recovery_handoff,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,171
safe_exit_or_recovery_handoff,transition_object,boundary_near,safe_terminal,True,,429
safe_exit_or_recovery_handoff,transition_object,inflight_stable,boundary_near,True,,3299
safe_exit_or_recovery_handoff,transition_object,inflight_stable,inflight_stable,True,,389
safe_exit_or_recovery_handoff,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,152
safe_exit_or_recovery_handoff,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1775
safe_exit_or_recovery_handoff,transition_object,launch_gate,inflight_stable,True,,803
safe_exit_or_recovery_handoff,transition_object,launch_gate,post_launch_degraded,True,,1262
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,598
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,inflight_stable,True,,148
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,214
