stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_boundary_near,boundary_near,hard_failure,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,180,0,0,0,0,180,0,180,0.0,True,False,180,3840,False,False,False
W01,inflight_boundary_near,boundary_near,hard_failure,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,179,0,0,0,0,179,0,179,0.0,True,False,179,3840,False,False,False
W01,inflight_boundary_near,boundary_near,hard_failure,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,182,0,0,0,0,182,0,182,0.0,True,False,182,3840,False,False,False
W01,inflight_boundary_near,boundary_near,hard_failure,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,183,0,0,0,0,183,0,183,0.0,True,False,183,3840,False,False,False
W01,inflight_boundary_near,boundary_near,hard_failure,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,182,0,0,0,0,182,0,182,0.0,True,False,182,3840,False,False,False
W01,inflight_boundary_near,boundary_near,hard_failure,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,184,0,0,0,0,184,0,184,0.0,True,False,184,3840,False,False,False
W01,inflight_boundary_near,boundary_near,safe_terminal,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,414,0,0,0,0,414,0,0,414,0.0,True,False,414,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,413,0,0,0,0,413,0,0,413,0.0,True,False,413,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,416,0,0,0,0,416,0,0,416,0.0,True,False,416,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,417,0,0,0,0,417,0,0,417,0.0,True,False,417,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,414,0,0,0,0,414,0,0,414,0.0,True,False,414,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,413,0,0,0,0,413,0,0,413,0.0,True,False,413,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,414,0,0,0,0,414,0,0,414,0.0,True,False,414,3840,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,412,0,0,0,0,412,0,0,412,0.0,True,False,412,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,356,659,0,0,0,1015,0,0,0,1015,0.0,True,False,1015,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,glide,glide,transition_object,inflight_entry_evidence_for_8_families,357,658,0,0,0,1015,0,0,0,1015,0.0,True,False,1015,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,361,654,0,0,0,1015,0,0,0,1015,0.0,True,False,1015,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,359,655,0,0,0,1014,0,0,0,1014,0.0,True,False,1014,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,363,653,0,0,0,1016,0,0,0,1016,0.0,True,False,1016,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,365,652,0,0,0,1017,0,0,0,1017,0.0,True,False,1017,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,363,653,0,0,0,1016,0,0,0,1016,0.0,True,False,1016,3840,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,361,652,0,0,0,1013,0,0,0,1013,0.0,True,False,1013,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,73,239,0,0,0,312,0,0,0,312,0.0,True,False,312,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,71,229,0,0,0,300,0,0,0,300,0.0,True,False,300,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,72,239,0,0,0,311,0,0,0,311,0.0,True,False,311,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,71,241,0,0,0,312,0,0,0,312,0.0,True,False,312,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,73,236,0,0,0,309,0,0,0,309,0.0,True,False,309,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,76,238,0,0,0,314,0,0,0,314,0.0,True,False,314,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,72,248,0,0,0,320,0,0,0,320,0.0,True,False,320,3840,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,72,245,0,0,0,317,0,0,0,317,0.0,True,False,317,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,42,71,0,0,0,113,0,0,0,113,0.0,True,False,113,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,46,79,0,0,0,125,0,0,0,125,0.0,True,False,125,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,37,77,0,0,0,114,0,0,0,114,0.0,True,False,114,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,45,69,0,0,0,114,0,0,0,114,0.0,True,False,114,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,43,72,0,0,0,115,0,0,0,115,0.0,True,False,115,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,36,73,0,0,0,109,0,0,0,109,0.0,True,False,109,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,37,67,0,0,0,104,0,0,0,104,0.0,True,False,104,3840,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,41,69,0,0,0,110,0,0,0,110,0.0,True,False,110,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,589,1484,0,0,0,2073,0,0,0,2073,0.0,True,False,2073,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,glide,glide,transition_object,inflight_entry_evidence_for_8_families,587,1487,0,0,0,2074,0,0,0,2074,0.0,True,False,2074,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,591,1483,0,0,0,2074,0,0,0,2074,0.0,True,False,2074,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,597,1477,0,0,0,2074,0,0,0,2074,0.0,True,False,2074,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,595,1479,0,0,0,2074,0,0,0,2074,0.0,True,False,2074,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,586,1488,0,0,0,2074,0,0,0,2074,0.0,True,False,2074,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,578,1497,0,0,0,2075,0,0,0,2075,0.0,True,False,2075,3840,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,600,1474,0,0,0,2074,0,0,0,2074,0.0,True,False,2074,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,32,204,0,0,0,236,0,0,0,236,0.0,True,False,236,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,32,210,0,0,0,242,0,0,0,242,0.0,True,False,242,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,32,212,0,0,0,244,0,0,0,244,0.0,True,False,244,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,29,213,0,0,0,242,0,0,0,242,0.0,True,False,242,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,34,206,0,0,0,240,0,0,0,240,0.0,True,False,240,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,33,208,0,0,0,241,0,0,0,241,0.0,True,False,241,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,31,210,0,0,0,241,0,0,0,241,0.0,True,False,241,3840,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,30,212,0,0,0,242,0,0,0,242,0.0,True,False,242,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,24,67,0,0,0,91,0,0,0,91,0.0,True,False,91,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,22,62,0,0,0,84,0,0,0,84,0.0,True,False,84,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,23,59,0,0,0,82,0,0,0,82,0.0,True,False,82,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,25,59,0,0,0,84,0,0,0,84,0.0,True,False,84,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,21,65,0,0,0,86,0,0,0,86,0.0,True,False,86,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,19,66,0,0,0,85,0,0,0,85,0.0,True,False,85,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,18,66,0,0,0,84,0,0,0,84,0.0,True,False,84,3840,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,25,59,0,0,0,84,0,0,0,84,0.0,True,False,84,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,205,393,0,0,0,598,0,0,0,598,0.0,True,False,598,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,206,392,0,0,0,598,0,0,0,598,0.0,True,False,598,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,207,391,0,0,0,598,0,0,0,598,0.0,True,False,598,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,206,392,0,0,0,598,0,0,0,598,0.0,True,False,598,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,206,391,0,0,0,597,0,0,0,597,0.0,True,False,597,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,208,389,0,0,0,597,0,0,0,597,0.0,True,False,597,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,204,393,0,0,0,597,0,0,0,597,0.0,True,False,597,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,208,389,0,0,0,597,0,0,0,597,0.0,True,False,597,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,53,107,0,0,0,160,0,0,0,160,0.0,True,False,160,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,48,109,0,0,0,157,0,0,0,157,0.0,True,False,157,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,50,108,0,0,0,158,0,0,0,158,0.0,True,False,158,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,47,107,0,0,0,154,0,0,0,154,0.0,True,False,154,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,56,110,0,0,0,166,0,0,0,166,0.0,True,False,166,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,52,110,0,0,0,162,0,0,0,162,0.0,True,False,162,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,47,111,0,0,0,158,0,0,0,158,0.0,True,False,158,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,47,110,0,0,0,157,0,0,0,157,0.0,True,False,157,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,83,119,0,0,0,202,0,0,0,202,0.0,True,False,202,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,86,119,0,0,0,205,0,0,0,205,0.0,True,False,205,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,87,117,0,0,0,204,0,0,0,204,0.0,True,False,204,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,91,117,0,0,0,208,0,0,0,208,0.0,True,False,208,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,80,117,0,0,0,197,0,0,0,197,0.0,True,False,197,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,85,116,0,0,0,201,0,0,0,201,0.0,True,False,201,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,91,114,0,0,0,205,0,0,0,205,0.0,True,False,205,3840,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,88,118,0,0,0,206,0,0,0,206,0.0,True,False,206,3840,False,True,False
W01,launch_gate,launch_gate,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,682,1092,0,0,0,1774,0,0,0,1774,0.0,True,True,1774,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,glide,glide,transition_object,launch_entry_evidence_for_8_families,680,1094,0,0,0,1774,0,0,0,1774,0.0,True,True,1774,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,680,1094,0,0,0,1774,0,0,0,1774,0.0,True,True,1774,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,681,1094,0,0,0,1775,0,0,0,1775,0.0,True,True,1775,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,680,1092,0,0,0,1772,0,0,0,1772,0.0,True,True,1772,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,mild_turn_right,mild_turn,transition_object,launch_entry_evidence_for_8_families,681,1092,0,0,0,1773,0,0,0,1773,0.0,True,True,1773,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,recovery,recovery,transition_object,launch_entry_evidence_for_8_families,682,1093,0,0,0,1775,0,0,0,1775,0.0,True,True,1775,3840,True,True,True
W01,launch_gate,launch_gate,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,launch_entry_evidence_for_8_families,681,1094,0,0,0,1775,0,0,0,1775,0.0,True,True,1775,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,286,504,0,0,0,790,0,0,0,790,0.0,True,True,790,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,glide,glide,transition_object,launch_entry_evidence_for_8_families,289,503,0,0,0,792,0,0,0,792,0.0,True,True,792,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,288,506,0,0,0,794,0,0,0,794,0.0,True,True,794,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,288,504,0,0,0,792,0,0,0,792,0.0,True,True,792,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,294,503,0,0,0,797,0,0,0,797,0.0,True,True,797,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,mild_turn_right,mild_turn,transition_object,launch_entry_evidence_for_8_families,292,507,0,0,0,799,0,0,0,799,0.0,True,True,799,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,recovery,recovery,transition_object,launch_entry_evidence_for_8_families,289,502,0,0,0,791,0,0,0,791,0.0,True,True,791,3840,True,True,True
W01,launch_gate,launch_gate,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,launch_entry_evidence_for_8_families,297,506,0,0,0,803,0,0,0,803,0.0,True,True,803,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,709,567,0,0,0,1276,0,0,0,1276,0.0,True,True,1276,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,glide,glide,transition_object,launch_entry_evidence_for_8_families,708,566,0,0,0,1274,0,0,0,1274,0.0,True,True,1274,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,710,562,0,0,0,1272,0,0,0,1272,0.0,True,True,1272,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,710,563,0,0,0,1273,0,0,0,1273,0.0,True,True,1273,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,704,567,0,0,0,1271,0,0,0,1271,0.0,True,True,1271,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,mild_turn_right,mild_turn,transition_object,launch_entry_evidence_for_8_families,706,562,0,0,0,1268,0,0,0,1268,0.0,True,True,1268,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,recovery,recovery,transition_object,launch_entry_evidence_for_8_families,709,565,0,0,0,1274,0,0,0,1274,0.0,True,True,1274,3840,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,launch_entry_evidence_for_8_families,700,562,0,0,0,1262,0,0,0,1262,0.0,True,True,1262,3840,True,True,True
