cluster_id,medoid_sample_id,primitive_id,fan_branch,W_layer,latency_case,entry_source,outcome_class,primitive_family,dwell_time_s,energy_residual_m,minimum_margin_m,exit_speed_m_s,failure_label,recommended_use,is_medoid,controller_mode,feedback_mode,claim_status,evidence_role
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_002229,fg_20260523_four_fan_branch_W1_002229__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.07559144634,3.58697090895,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_005390,fg_20260523_four_fan_branch_W1_005390__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.16147064757,3.42612577705,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_005543,fg_20260523_four_fan_branch_W1_005543__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.1678198707,3.81622255248,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c03,fg_20260523_four_fan_branch_W1_003777,fg_20260523_four_fan_branch_W1_003777__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.1803930977000001,3.34002835814,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c04,fg_20260523_four_fan_branch_W1_001835,fg_20260523_four_fan_branch_W1_001835__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.1541470094300001,3.78449849417,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_006533,fg_20260523_four_fan_branch_W1_006533__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.1265005894299999,3.48812104175,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_007417,fg_20260523_four_fan_branch_W1_007417__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_left,0.0,0.0,-0.0690005005899998,4.2789936661,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_006138,fg_20260523_four_fan_branch_W1_006138__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.3246610762599999,4.01541811017,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_007839,fg_20260523_four_fan_branch_W1_007839__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.6561008526199998,3.81404294691,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_008029,fg_20260523_four_fan_branch_W1_008029__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.3032173555099999,3.3565918013,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_008166,fg_20260523_four_fan_branch_W1_008166__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.6162360833299996,3.35401463028,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_002229,fg_20260523_four_fan_branch_W1_002229__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.07559144634,3.58697090895,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_005390,fg_20260523_four_fan_branch_W1_005390__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.16147064757,3.42612577705,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_005543,fg_20260523_four_fan_branch_W1_005543__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.1678198707,3.81622255248,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c03,fg_20260523_four_fan_branch_W1_003777,fg_20260523_four_fan_branch_W1_003777__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.1803930977000001,3.34002835814,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c04,fg_20260523_four_fan_branch_W1_001835,fg_20260523_four_fan_branch_W1_001835__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.1541470094300001,3.78449849417,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_006533,fg_20260523_four_fan_branch_W1_006533__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.1265005894299999,3.48812104175,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_007417,fg_20260523_four_fan_branch_W1_007417__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_right,0.0,0.0,-0.0690005005899998,4.2789936661,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_right|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_006138,fg_20260523_four_fan_branch_W1_006138__W0__mild_coordinated_turn_right,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_right,0.0,0.0,0.3246610762599999,4.01541811017,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_007839,fg_20260523_four_fan_branch_W1_007839__W0__recovery,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,recovery,0.0,0.0,0.6561008526199998,3.81404294691,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_008029,fg_20260523_four_fan_branch_W1_008029__W0__recovery,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,recovery,0.0,0.0,0.3032173555099999,3.3565918013,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_008166,fg_20260523_four_fan_branch_W1_008166__W0__recovery,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,recovery,0.0,0.0,0.6162360833299996,3.35401463028,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_002229,fg_20260523_four_fan_branch_W1_002229__W0__recovery,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,recovery,0.0,0.0,0.07559144634,3.58697090895,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_005390,fg_20260523_four_fan_branch_W1_005390__W0__recovery,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,recovery,0.0,0.0,0.16147064757,3.42612577705,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_005543,fg_20260523_four_fan_branch_W1_005543__W0__recovery,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,recovery,0.0,0.0,0.1678198707,3.81622255248,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c03,fg_20260523_four_fan_branch_W1_003777,fg_20260523_four_fan_branch_W1_003777__W0__recovery,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,recovery,0.0,0.0,0.1803930977000001,3.34002835814,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=recovery|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c04,fg_20260523_four_fan_branch_W1_001835,fg_20260523_four_fan_branch_W1_001835__W0__recovery,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,recovery,0.0,0.0,0.1541470094300001,3.78449849417,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
